CODES,DATES,OPEN,CLOSE,HIGH,LOW,PCTCHANGE,VOLUME,AMOUNT
00700.HK,2013/06/20,293.0,290.2,295.2,289.2,-3.137516,6211282.0,1808140161.0
00700.HK,2013/06/21,287.2,285.8,288.0,280.2,-1.516196,8791055.0,2501874915.0
00700.HK,2013/06/24,281.8,278.6,282.0,276.0,-2.519244,5629092.0,1569112442.0
00700.HK,2013/06/25,278.0,283.4,285.6,269.4,1.7229,6855212.0,1914464342.0
00700.HK,2013/06/26,283.6,290.4,291.0,279.6,2.470007,5154973.0,1470364548.0
00700.HK,2013/06/27,298.0,297.8,301.6,294.4,2.548209,5130046.0,1528089972.0
00700.HK,2013/06/28,306.0,304.2,306.0,300.0,2.149094,5078765.0,1540189205.0
00700.HK,2013/07/02,313.2,301.8,313.6,301.6,-0.788955,4078327.0,1250509798.0
00700.HK,2013/07/03,302.0,298.8,306.8,296.0,-0.994036,4772972.0,1444445137.0
00700.HK,2013/07/04,301.0,306.4,307.4,301.0,2.543508,2919265.0,890495725.0
00700.HK,2013/07/05,309.0,308.4,310.0,306.0,0.652742,2426016.0,747442518.0
00700.HK,2013/07/08,306.8,302.4,307.2,296.0,-1.945525,3889800.0,1175926547.0
00700.HK,2013/07/09,302.4,301.4,307.8,299.4,-0.330688,2764217.0,836712473.0
00700.HK,2013/07/10,305.0,304.4,305.8,301.0,0.995355,3036046.0,920959322.0
00700.HK,2013/07/11,308.0,310.8,311.2,305.0,2.102497,3144735.0,972052631.0
00700.HK,2013/07/12,311.2,309.8,312.6,306.8,-0.32175,1876819.0,581745432.0
00700.HK,2013/07/15,310.0,321.4,322.0,309.8,3.744351,5251781.0,1674883654.0
00700.HK,2013/07/16,321.4,329.8,331.6,320.0,2.613565,5900352.0,1941060466.0
00700.HK,2013/07/17,334.0,330.0,334.0,325.2,0.060643,4741467.0,1563464842.0
00700.HK,2013/07/18,334.0,327.8,334.8,326.6,-0.666667,3217430.0,1059740280.0
00700.HK,2013/07/19,331.0,333.8,335.2,325.2,1.830384,5014014.0,1660397177.0
00700.HK,2013/07/22,334.8,327.6,337.0,325.4,-1.8574,2966565.0,974962739.0
00700.HK,2013/07/23,326.4,332.6,333.0,326.4,1.526252,3505868.0,1159942873.0
00700.HK,2013/07/24,330.0,330.8,334.0,329.8,-0.541191,2494604.0,828108261.0
00700.HK,2013/07/25,330.0,334.4,336.2,329.2,1.088271,3230951.0,1078208737.0
00700.HK,2013/07/26,340.0,347.4,350.4,337.8,3.88756,6269787.0,2171752925.0
00700.HK,2013/07/29,350.8,349.6,355.8,348.4,0.633276,4946486.0,1736723636.0
00700.HK,2013/07/30,352.2,363.6,364.0,348.8,4.004576,6616581.0,2366688746.0
00700.HK,2013/07/31,357.2,351.8,362.4,348.4,-3.245325,7117694.0,2517047810.0
00700.HK,2013/08/01,354.0,360.6,361.8,354.0,2.501421,4451833.0,1592016980.0
00700.HK,2013/08/02,359.0,360.2,363.0,357.0,-0.110926,3379832.0,1216555308.0
00700.HK,2013/08/05,361.2,371.0,373.6,361.2,2.998334,4008099.0,1476101920.0
00700.HK,2013/08/06,370.0,375.6,379.0,368.2,1.239892,3944784.0,1477391461.0
00700.HK,2013/08/07,372.8,360.2,380.0,359.4,-4.100106,4884068.0,1799521041.0
00700.HK,2013/08/08,363.0,356.4,365.8,354.2,-1.054969,4025879.0,1440933578.0
00700.HK,2013/08/09,357.4,357.4,361.2,354.4,0.280584,2325997.0,830788074.0
00700.HK,2013/08/12,357.0,367.4,369.6,353.2,2.797986,3231566.0,1179962449.0
00700.HK,2013/08/13,366.0,370.0,372.8,365.6,0.707676,3058826.0,1128557300.0
00700.HK,2013/08/15,366.0,368.0,378.8,351.4,-0.540541,11849168.0,4343088632.0
00700.HK,2013/08/16,364.8,366.6,377.4,360.2,-0.380435,4873008.0,1796341994.0
00700.HK,2013/08/19,366.0,370.2,374.6,365.0,0.981997,2192509.0,813808429.0
00700.HK,2013/08/20,370.0,364.0,373.8,362.2,-1.67477,4481915.0,1642032141.0
00700.HK,2013/08/21,360.2,360.0,363.6,357.0,-1.098901,3582697.0,1289504893.0
00700.HK,2013/08/22,353.0,360.0,360.4,351.0,0.0,4500996.0,1604005035.0
00700.HK,2013/08/23,358.0,355.8,360.0,353.2,-1.166667,3344605.0,1192800869.0
00700.HK,2013/08/26,352.2,356.8,359.6,352.0,0.281057,2129462.0,759451931.0
00700.HK,2013/08/27,355.0,362.0,368.0,354.8,1.457399,2871975.0,1036075125.0
00700.HK,2013/08/28,357.8,356.2,361.6,356.0,-1.60221,2741274.0,980983025.0
00700.HK,2013/08/29,357.0,361.8,363.6,356.6,1.57215,2480779.0,894167590.0
00700.HK,2013/08/30,358.0,363.6,364.2,357.2,0.497512,2383872.0,859278497.0
00700.HK,2013/09/02,369.2,376.4,377.2,367.0,3.520352,4015869.0,1495941012.0
00700.HK,2013/09/03,377.8,379.8,384.8,376.6,0.903294,3870876.0,1477226147.0
00700.HK,2013/09/04,377.8,379.0,385.0,376.2,-0.210637,3559848.0,1356460876.0
00700.HK,2013/09/05,385.0,387.6,388.6,382.6,2.26913,4614506.0,1785728053.0
00700.HK,2013/09/06,389.0,387.0,389.8,383.0,-0.154799,3621297.0,1402303217.0
00700.HK,2013/09/09,388.8,390.4,392.4,387.0,0.878553,2929414.0,1143804016.0
00700.HK,2013/09/10,396.0,399.0,399.0,395.0,2.202869,3661956.0,1453565772.0
00700.HK,2013/09/11,400.0,402.2,405.8,399.4,0.802005,3892853.0,1563007167.0
00700.HK,2013/09/12,400.0,412.8,413.2,398.6,2.635505,4025430.0,1641878249.0
00700.HK,2013/09/13,407.0,410.8,414.2,406.2,-0.484496,3440870.0,1407636483.0
